FTB_FUNCTION,FTB_TAB,FTB_RENTITY,FTB_VISIBLE,FTB_SELECT,FTB_UPDATE,FTB_INSERT,FTB_DELETE,FTB_DISPLAYFT,FTB_SYSREQUIRED,FTB_SEQ,FTB_SQLEXIST,FTB_UPDATECOUNT,FTB_ALTERSAVE,FTB_INTERFACECODE,FTB_MEKEY,FTB_EWSBTN,FTB_XTYPE,FTB_NODESIGN,FTB_DESIGNPOPUP,FTB_LASTSAVED,FTB_PRODUCT
ZJ1000,DOC,,'+,?,*,'+,X,'-,,11,,0,,,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,DPD,,'+,?,*,'+,X,,'-,59,,0,'+,WEDPDS,YY,'-,,'-,'-,2026-04-02 01:02:59,B
ZJ1000,EAC,EVAC,'+,?,*,'+,X,'-,'-,51,,0,'+,WEACMP,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,EER,WOER,'+,?,*,'+,X,'-,'-,52,,0,'+,WEWOER,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,EPO,,'+,?,*,'+,X,'-,'-,29,,0,'+,WEWOIN,YN,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,ERC,,'-,?,,,,'-,'-,21,,0,,,YN,'-,,'+,'-,2025-10-23 11:40:39,B
ZJ1000,ETP,OTP,'+,?,*,'+,X,'-,'-,27,,0,'+,WEWOCL,YN,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,GPH,,'+,?,,,,'-,'-,38,,0,,,YY,'-,reportview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,JBL,,'+,?,*,'+,X,'-,'-,18,,0,'+,WEJRPS,YN,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,JOB,ACT,'-,?,*,'+,X,'-,'-,41,,0,'+,WEACTJ,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,KSF,PCTN,'+,?,*,'+,X,'-,'-,39,,0,'+,WESFWO,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,LNO,EVNT,'-,?,,,,'-,'-,44,,0,,,YY,'-,linearoverview,'-,'-,2025-10-23 11:40:39,W
ZJ1000,MAP,,'+,?,*,,,'-,'-,48,,0,,,YY,'-,map,'+,'-,2025-10-23 11:40:39,M
ZJ1000,MDR,,'+,?,*,'+,X,'-,'-,32,,0,'+,WEJOBM,YN,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,MEC,,'+,?,*,'+,X,'-,'-,12,,0,'+,WEWOEQ,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,NCF,NOCO,'+,?,*,'+,X,'-,'-,46,,0,'+,OENCOB,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,NCT,NOCF,'-,?,*,'+,X,'-,'-,54,,0,'+,OENCOB,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,ORD,,'+,?,,,,'-,'-,17,,0,,,YY,'-,listonly,'+,'-,2025-10-23 11:40:39,B
ZJ1000,PAR,,'+,?,*,'+,X,'-,'+,10,,0,,WEPART,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,PAS,,'-,?,*,'+,X,'-,'-,23,,0,'+,,YN,'-,,'-,'-,2025-10-23 11:40:39,B
